CAMARA FEDERAL DE LA SEGURIDAD SOCIAL,,,,,,,
JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL Nº 1,,,,,,,
SECRETARÍA Nº 1,,,,,,,
Juez: Dra. Karina Alonso Candis,,,,,,,
Secretaria: Dra. Stella Maris Rodriguez,,,,,,,
,,,,,,,
,,,,ESTADISTICA AL: 31/03/2024,,,
,,,,,,,
I. EXPEDIENTES EXISTENTES,,,,,,4511,
,,,,,,,
II. EXPEDIENTES RECIBIDOS,,,,,,177,
,,,,,,,4688
,,,,,177,0,
,,,,,Asignados,Reingresados,
1.Amparo por Mora de la Administración,,,,,1,0,
A.Jubilación y retiro por Invalidez,,,,,1,0,
B.Retiro por Invalidez (art. 49 p.4 Ley 24241),,,,,0,0,
3.Pensiones,,,,,5,0,
C.Prestaciones Varias,,,,,2,0,
11.Reajustes Varios,,,,,134,0,
12.Otros(*),,,,,0,0,
13.Amparos y Sumarisimos,,,,,12,0,
14.Medidas Cautelares,,,,,0,0,
15.Ejecución Previsional,,,,,0,0,
D.Ejecución de Honorarios Astreintes y Otros,,,,,0,0,
17.Personal Militar y Civil de las FF.AA.y de Seguridad,,,,,17,0,
21.Oficio Ley 22172,,,,,0,0,
22.Ley 24557,,,,,0,0,
36.Beneficio de Litigar sin Gastos,,,,,0,0,
37.Acción Meramente Declarativa,,,,,1,0,
38.Cobro de Pesos,,,,,1,0,
39.Información Sumaria,,,,,0,0,
40.Inconstitucionalidades Varias,,,,,3,0,
I04.Incidente,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL(INCIDENTE),,,,,0,0,
,,,,,,,
,,,,,,,
,,,,,,,
III. EXPEDIENTES RESUELTOS,,,,,,,282
1.Sentencias Definitivas,,,,,,233,
2.Sentencias Interlocutorias con Fuerza de Definitivas,,,,,,37,
3.Providencias Simples,,,,,,12,
,,,,,,,
,,,,,,,
,,,,,,,
IV. TOTAL DE EXPEDIENTES RESUELTOS ARCHIVADOS,,,,,,,47308
1.Expedientes Resueltos Archivados al período anterior,,,,,,47418,
2.Expedientes Resueltos Archivados en este período,,,,,,16,
3.Expedientes Resueltos Desarchivados en este período,,,,,,126,
,,,,,,,
V. TOTAL DE EXPEDIENTES CON GIRO A ALZADA,,,,,,,5286
"(apelados, conflicto de competencia)",,,,,,,
1.Expedientes con giro a alzada del período anterior,,,,,,5105,
2.Expedientes con giro a alzada de este período,,,,,,384,
3.Expedientes devueltos de la alzada en este período,,,,,,203,
,,,,,,,
VI. EXPEDIENTES EN TRÁMITE AL 31/03/2024,,,,,,,4406
,,,,,,,
1.Pendientes de prueba,,,,,,4406,
2.Medidas para mejor proveer,,,,,,20,
3.Expedientes a sentencia,(*) VER NOTA AL PIE,,,,,0,
a) Con más de 4(cuatro) meses,,,,,0,,
b) Con menos de 4(cuatro meses),,,,,0,,
,,,,,,,
VII. EXPEDIENTES EN EJECUCIÓN AL 31/03/2024,,,,,,,46510
1.Total de expedientes tramitando en el juzgado,,,,,,50916,
1.1 Total asignado al Juzgado,,,,,104362,,
a) Total asignado al mes anterior,,,,104185,,,
b) Total asignado en este período,,,,177,,,
"1.2. Total de expedientes resueltos archivados, remitidos, o acumulados",,,,,53446,,
a) Total de expedientes resueltos archivados,,,,47308,,,
b) Total de expedientes con giro a la alzada,,,,5286,,,
c) Otros expedientes resueltos remitidos,,,,829,,,
c.1)Otros expedientes resueltos remitidos período anterior,,,828,,,,
c.2)Otros expedientes resueltos remitidos en este período,,,1,,,,
c.3)Otros expedientes resueltos ingresados en este período,,,0,,,,
d) Total de expedientes acumulados a otros,,,,23,,,
d.1)Acumulados al período anterior,,,23,,,,
d.2)Acumulados en este período,,,0,,,,
,,,,,,,
,,,,,,,
2. Total de expedientes en trámite,,,,,,4406,
,,,,,,,
(*) Restitución de beneficio,,,,,,,
Restitución de haber,,,,,,,
Cargo contra el beneficiario,,,,,,,
Prestación complementaria,,,,,,,
Ley 21.864,,,,,,,
Recomposición del haber,,,,,,,
Haberes previsionales,,,,,,,
Diferencia de haberes previsionales,,,,,,,
Reintegros,,,,,,,
Interrupción de la prescripción,,,,,,,
Nulidad de acto administrativo,,,,,,,
Impugnación fecha inicial de pago,,,,,,,
Reapertura de instancia,,,,,,,
,,,,,,,
Observaciones:,,,,,,,
"(*)
",,,,,,,
Dejo constancia que los números volcados en la planilla son los proporcionados por la Oficina de Estadísticas de la,,,,,,,
Excma. Cámara del Fuero,,,,,,,
