CAMARA FEDERAL DE LA SEGURIDAD SOCIAL,,,,,,,
JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL Nº 3,,,,,,,
SECRETARÍA Nº 1,,,,,,,
Juez Subrogante: Dra. Alicia Isabel Braghini,,,,,,,
Secretaria: Dra. Natalia Martínez,,,,,,,
,,,,,,,
,,,,ESTADISTICA AL: 29/02/2024,,,
,,,,,,,
I. EXPEDIENTES EXISTENTES,,,,,,4978,
,,,,,,,
II. EXPEDIENTES RECIBIDOS,,,,,,220,
,,,,,,,5198
,,,,,220,0,
,,,,,Asignados,Reingresados,
1.Amparo por Mora de la Administración,,,,,3,0,
A.Jubilación y retiro por Invalidez,,,,,1,0,
B.Retiro por Invalidez (art. 49 p.4 Ley 24241),,,,,0,0,
3.Pensiones,,,,,6,0,
C.Prestaciones Varias,,,,,1,0,
11.Reajustes Varios,,,,,153,0,
12.Otros(*),,,,,0,0,
13.Amparos y Sumarisimos,,,,,16,0,
14.Medidas Cautelares,,,,,1,0,
15.Ejecución Previsional,,,,,0,0,
D.Ejecución de Honorarios Astreintes y Otros,,,,,0,0,
17.Personal Militar y Civil de las FF.AA.y de Seguridad,,,,,20,0,
21.Oficio Ley 22172,,,,,0,0,
22.Ley 24557,,,,,0,0,
36.Beneficio de Litigar sin Gastos,,,,,0,0,
37.Acción Meramente Declarativa,,,,,17,0,
38.Cobro de Pesos,,,,,0,0,
39.Información Sumaria,,,,,0,0,
40.Inconstitucionalidades Varias,,,,,2,0,
I04.Incidente,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL(INCIDENTE),,,,,0,0,
,,,,,,,
,,,,,,,
,,,,,,,
III. EXPEDIENTES RESUELTOS,,,,,,,128
1.Sentencias Definitivas,,,,,,110,
2.Sentencias Interlocutorias con Fuerza de Definitivas,,,,,,11,
3.Providencias Simples,,,,,,7,
,,,,,,,
,,,,,,,
,,,,,,,
IV. TOTAL DE EXPEDIENTES RESUELTOS ARCHIVADOS,,,,,,,57096
1.Expedientes Resueltos Archivados al período anterior,,,,,,57061,
2.Expedientes Resueltos Archivados en este período,,,,,,123,
3.Expedientes Resueltos Desarchivados en este período,,,,,,88,
,,,,,,,
V. TOTAL DE EXPEDIENTES CON GIRO A ALZADA,,,,,,,2677
"(apelados, conflicto de competencia)",,,,,,,
1.Expedientes con giro a alzada del período anterior,,,,,,2795,
2.Expedientes con giro a alzada de este período,,,,,,99,
3.Expedientes devueltos de la alzada en este período,,,,,,217,
,,,,,,,
VI. EXPEDIENTES EN TRÁMITE AL 29/02/2024,,,,,,,5070
,,,,,,,
1.Pendientes de prueba,,,,,,5070,
2.Medidas para mejor proveer,,,,,,9,
3.Expedientes a sentencia,(*) VER NOTA AL PIE,,,,,0,
a) Con más de 4(cuatro) meses,,,,,0,,
b) Con menos de 4(cuatro meses),,,,,0,,
,,,,,,,
VII. EXPEDIENTES EN EJECUCIÓN AL 29/02/2024,,,,,,,39944
1.Total de expedientes tramitando en el juzgado,,,,,,45014,
1.1 Total asignado al Juzgado,,,,,105390,,
a) Total asignado al mes anterior,,,,105170,,,
b) Total asignado en este período,,,,220,,,
"1.2. Total de expedientes resueltos archivados, remitidos, o acumulados",,,,,60376,,
a) Total de expedientes resueltos archivados,,,,57096,,,
b) Total de expedientes con giro a la alzada,,,,2677,,,
c) Otros expedientes resueltos remitidos,,,,587,,,
c.1)Otros expedientes resueltos remitidos período anterior,,,603,,,,
c.2)Otros expedientes resueltos remitidos en este período,,,5,,,,
c.3)Otros expedientes resueltos ingresados en este período,,,21,,,,
d) Total de expedientes acumulados a otros,,,,16,,,
d.1)Acumulados al período anterior,,,16,,,,
d.2)Acumulados en este período,,,0,,,,
,,,,,,,
,,,,,,,
2. Total de expedientes en trámite,,,,,,5070,
,,,,,,,
(*) Restitución de beneficio,,,,,,,
Restitución de haber,,,,,,,
Cargo contra el beneficiario,,,,,,,
Prestación complementaria,,,,,,,
Ley 21.864,,,,,,,
Recomposición del haber,,,,,,,
Haberes previsionales,,,,,,,
Diferencia de haberes previsionales,,,,,,,
Reintegros,,,,,,,
Interrupción de la prescripción,,,,,,,
Nulidad de acto administrativo,,,,,,,
Impugnación fecha inicial de pago,,,,,,,
Reapertura de instancia,,,,,,,
,,,,,,,
Observaciones:,,,,,,,
