CAMARA FEDERAL DE LA SEGURIDAD SOCIAL,,,,,,,
JUZGADO FEDERAL DE PRIMERA INSTANCIA DE LA SEGURIDAD SOCIAL Nº 6,,,,,,,
SECRETARÍA Nº 1,,,,,,,
Juez Subrogante: Dra. Valeria Alicia Bertolini,,,,,,,
Secretaria: Dra. Nadia Daniela Panissa,,,,,,,
,,,,,,,
,,,,ESTADISTICA AL: 30/06/2024,,,
,,,,,,,
I. EXPEDIENTES EXISTENTES,,,,,,6561,
,,,,,,,
II. EXPEDIENTES RECIBIDOS,,,,,,182,
,,,,,,,6743
,,,,,182,0,
,,,,,Asignados,Reingresados,
1.Amparo por Mora de la Administración,,,,,1,0,
A.Jubilación y retiro por Invalidez,,,,,0,0,
B.Retiro por Invalidez (art. 49 p.4 Ley 24241),,,,,0,0,
3.Pensiones,,,,,7,0,
C.Prestaciones Varias,,,,,1,0,
11.Reajustes Varios,,,,,130,0,
12.Otros(*),,,,,0,0,
13.Amparos y Sumarisimos,,,,,8,0,
14.Medidas Cautelares,,,,,1,0,
15.Ejecución Previsional,,,,,0,0,
D.Ejecución de Honorarios Astreintes y Otros,,,,,0,0,
17.Personal Militar y Civil de las FF.AA.y de Seguridad,,,,,15,0,
21.Oficio Ley 22172,,,,,0,0,
22.Ley 24557,,,,,0,0,
36.Beneficio de Litigar sin Gastos,,,,,0,0,
37.Acción Meramente Declarativa,,,,,13,0,
38.Cobro de Pesos,,,,,0,0,
39.Información Sumaria,,,,,0,0,
40.Inconstitucionalidades Varias,,,,,6,0,
I04.Incidente,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL,,,,,0,0,
ARH. ACUERDO TRANSACCIONAL(INCIDENTE),,,,,0,0,
,,,,,,,
,,,,,,,
,,,,,,,
III. EXPEDIENTES RESUELTOS,,,,,,,156
1.Sentencias Definitivas,,,,,,132,
2.Sentencias Interlocutorias con Fuerza de Definitivas,,,,,,13,
3.Providencias Simples,,,,,,11,
,,,,,,,
,,,,,,,
,,,,,,,
IV. TOTAL DE EXPEDIENTES RESUELTOS ARCHIVADOS,,,,,,,53860
1.Expedientes Resueltos Archivados al período anterior,,,,,,53882,
2.Expedientes Resueltos Archivados en este período,,,,,,76,
3.Expedientes Resueltos Desarchivados en este período,,,,,,98,
,,,,,,,
V. TOTAL DE EXPEDIENTES CON GIRO A ALZADA,,,,,,,4640
"(apelados, conflicto de competencia)",,,,,,,
1.Expedientes con giro a alzada del período anterior,,,,,,4697,
2.Expedientes con giro a alzada de este período,,,,,,183,
3.Expedientes devueltos de la alzada en este período,,,,,,240,
,,,,,,,
VI. EXPEDIENTES EN TRÁMITE AL 30/06/2024,,,,,,,6587
,,,,,,,
1.Pendientes de prueba,,,,,,6587,
2.Medidas para mejor proveer,,,,,,7,
3.Expedientes a sentencia,(*) VER NOTA AL PIE,,,,,0,
a) Con más de 4(cuatro) meses,,,,,0,,
b) Con menos de 4(cuatro meses),,,,,0,,
,,,,,,,
VII. EXPEDIENTES EN EJECUCIÓN AL 30/06/2024,,,,,,,44190
1.Total de expedientes tramitando en el juzgado,,,,,,50777,
1.1 Total asignado al Juzgado,,,,,113022,,
a) Total asignado al mes anterior,,,,112840,,,
b) Total asignado en este período,,,,182,,,
"1.2. Total de expedientes resueltos archivados, remitidos, o acumulados",,,,,62245,,
a) Total de expedientes resueltos archivados,,,,53860,,,
b) Total de expedientes con giro a la alzada,,,,4640,,,
c) Otros expedientes resueltos remitidos,,,,3735,,,
c.1)Otros expedientes resueltos remitidos período anterior,,,3745,,,,
c.2)Otros expedientes resueltos remitidos en este período,,,10,,,,
c.3)Otros expedientes resueltos ingresados en este período,,,20,,,,
d) Total de expedientes acumulados a otros,,,,10,,,
d.1)Acumulados al período anterior,,,9,,,,
d.2)Acumulados en este período,,,1,,,,
,,,,,,,
,,,,,,,
2. Total de expedientes en trámite,,,,,,6587,
,,,,,,,
(*) Restitución de beneficio,,,,,,,
Restitución de haber,,,,,,,
Cargo contra el beneficiario,,,,,,,
Prestación complementaria,,,,,,,
Ley 21.864,,,,,,,
Recomposición del haber,,,,,,,
Haberes previsionales,,,,,,,
Diferencia de haberes previsionales,,,,,,,
Reintegros,,,,,,,
Interrupción de la prescripción,,,,,,,
Nulidad de acto administrativo,,,,,,,
Impugnación fecha inicial de pago,,,,,,,
Reapertura de instancia,,,,,,,
,,,,,,,
Observaciones:,,,,,,,
,"Informo a la Sra. Prosecretaria Administrativa a cargo de la oficina de Estadística de la Excma. Cámara: El total de expedientes a sentencia de este mes resulta de imposible determinación a través del sistema lex100, siendo 135 el total de expedientes pasados a sentencia en el mes de junio/2024, conforme los datos estadísticos brindados por esa oficina. Asimismo, dejo asentado que a partir del mes de marzo de este año se comenzó a protolizar en el sistema informático las SIS correspondientes a la etapa de ejecución, habiéndose registrado 387 en el mes de junio.",,,,,,
