Dependencia,Codigo,CodObjeto,Naturaleza,Objeto,Período,Cantidad,Objeto-Desc - Tipo_Expte
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,11,P,REAJUSTES VARIOS,201010,14,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,17,P,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201010,7,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,11,P,REAJUSTES VARIOS,201010,366,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,12,P,OTROS - PREVISIONALES,201010,10,12 - OTROS - PREVISIONALES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,13,P,AMPAROS Y SUMARISIMOS,201010,28,13 - AMPAROS Y SUMARISIMOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,14,P,MEDIDAS CAUTELARES,201010,9,14 - MEDIDAS CAUTELARES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,15,P,EJECUCION PREVISIONAL,201010,43,15 - EJECUCION PREVISIONAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,17,P,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201010,110,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,19A,P,EJECUCION LEY 23660,201010,1,19A - EJECUCION LEY 23660
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,22,P,LEY 24557,201010,28,22 - LEY 24557
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,3,P,PENSIONES,201010,3,3 - PENSIONES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,35,P,RECURSO DE QUEJA,201010,1,35 - RECURSO DE QUEJA
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,37,P,ACCION MERAMENTE DECLARATIVA,201010,10,37 - ACCION MERAMENTE DECLARATIVA
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,40,P,INCONSTITUCIONALIDADES VARIAS,201010,6,40 - INCONSTITUCIONALIDADES VARIAS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,8,P,IMPUGNACION DE DEUDA,201010,4,8 - IMPUGNACION DE DEUDA
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,A,P,JUBILACION Y RETIRO POR INVALIDEZ,201010,1,A - JUBILACION Y RETIRO POR INVALIDEZ
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,B,P,"RETIRO POR INVALIDEZ (ART 49 P.4. LEY 24,241)",201010,11,"B - RETIRO POR INVALIDEZ (ART 49 P.4. LEY 24,241)"
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,C,P,PRESTACIONES VARIAS,201010,1,C - PRESTACIONES VARIAS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,I04,P,INCIDENTE,201010,9,I04 - INCIDENTE
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,1,P,AMPARO POR MORA DE LA ADMINISTRACION,201010,1,1 - AMPARO POR MORA DE LA ADMINISTRACION
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,11,P,REAJUSTES VARIOS,201010,23,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,12,P,OTROS - PREVISIONALES,201010,1,12 - OTROS - PREVISIONALES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,13,P,AMPAROS Y SUMARISIMOS,201010,10,13 - AMPAROS Y SUMARISIMOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,15,P,EJECUCION PREVISIONAL,201010,13,15 - EJECUCION PREVISIONAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,17,P,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201010,30,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,19A,P,EJECUCION LEY 23660,201010,3,19A - EJECUCION LEY 23660
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,35,P,RECURSO DE QUEJA,201010,1,35 - RECURSO DE QUEJA
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,B,P,"RETIRO POR INVALIDEZ (ART 49 P.4. LEY 24,241)",201010,1,"B - RETIRO POR INVALIDEZ (ART 49 P.4. LEY 24,241)"
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,DPS,I04,P,INCIDENTE,201010,2,I04 - INCIDENTE
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,LET,11,P,REAJUSTES VARIOS,201010,345,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,LET,12,P,OTROS - PREVISIONALES,201010,1,12 - OTROS - PREVISIONALES
