Dependencia,Codigo,CodObjeto,Naturaleza,Objeto,Periodo,Cantidad,Objeto-Desc - Tipo_Expte
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$CE,11,,REAJUSTES VARIOS,201611,72,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$CE,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201611,7,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,$CE,C,,PRESTACIONES VARIAS,201611,1,C - PRESTACIONES VARIAS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,11,,REAJUSTES VARIOS,201611,1345,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201611,227,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,22,,LEY 24557,201611,1,22 - LEY 24557
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,3,,PENSIONES,201611,4,3 - PENSIONES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,38,,COBRO DE PESOS,201611,1,38 - COBRO DE PESOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,40,,INCONSTITUCIONALIDADES VARIAS,201611,3,40 - INCONSTITUCIONALIDADES VARIAS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,259,C,,PRESTACIONES VARIAS,201611,3,C - PRESTACIONES VARIAS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,98,18B,,REPETICION,201611,1,18B - REPETICION
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,98,7,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201611,1,7 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,11,,REAJUSTES VARIOS,201611,928,11 - REAJUSTES VARIOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,12G,,ALLANAMIENTO,201611,1,12G - ALLANAMIENTO
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,13,,AMPAROS Y SUMARISIMOS,201611,16,13 - AMPAROS Y SUMARISIMOS
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,14,,MEDIDAS CAUTELARES,201611,2,14 - MEDIDAS CAUTELARES
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,15,,EJECUCION PREVISIONAL,201611,8,15 - EJECUCION PREVISIONAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,16,,EJECUCION FISCAL,201611,1,16 - EJECUCION FISCAL
CAMARA FEDERAL DE LA SEGURIDAD SOCIAL - SALA 1-,ASE,17,,PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG,201611,468,17 - PERSONAL MILITAR Y CIVIL DE LAS FFAA Y DE SEG
